Gender - Selected Choice,Gender - Other (please describe) - Text,Years you attended college (put N/A if you haven't yet or never went to college),Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - Selected Choice,"Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - No, my first experience was not a class (please describe) - Text",What was the gender of the first person who taught you computer science? - Selected Choice,What was the gender of the first person who taught you computer science? - Other (please describe) - Text,"Were you more interested, less interested, or had the same amount of interest in 
computer science after your first class / experience with CS?","After this first class/experience, did you continue with computer science classes or 
programs?","Do you think the gender of your instructor impacted your choice to continue to study (or 
not study) computer science?",Which of these options best describes you? - Selected Choice,Which of these options best describes you? - Other (please describe) - Text,"If you never came back to computer science, why?",Other comments on your experience with computer science?
Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,"Not necessarily, no.",I am studying computer science as a major/ I graduated with a CS major,,,"The gender ratio is 1:10, but we have some really good female professors and I definitely feel as though I belong."
Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,"First experience was an IT internship at a local high school where the head of the department was a woman, she helped me foster an interest in CS"
Male,,2,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,In my first year,"Yes, a class in grade school",,Female,,More interested,Yes,Not particularly,I am studying computer science as a major/ I graduated with a CS major,,,None 
Male,,2-Jan,"No, my first experience was not a class (please describe)",My first experience was at a camp at my towns children's museum. ,Female,,More interested,Yes,"No, I think I just liked computer science. I honestly forgot about the experience till I thought about it for this.",I am studying computer science as a major/ I graduated with a CS major,,,
Male,,3,"Yes, a class in college",,Male,,More interested,Yes,I don't  believe so. I rarely interacted with the professor in my first course.,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,0.5,"No, my first experience was not a class (please describe)","In 7th grade, my best friend showed me a mean absolute deviation calculator that he made on scratch with block code.",Male,,More interested,Yes,"No I don't think so. Although my best friend identified as male, I think that him being my best friend played more of a role than his gender. I think I would’ve had the same amazement in 7th grade if my best friend was female or nonbinary.",I am studying computer science as a major/ I graduated with a CS major,,,"Nada, no hay mas."
Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,I don't think so.,I am studying computer science as a major/ I graduated with a CS major,,,It’s been fun but intimidating. Lots of classes are mostly boys.
Female,,2023,"Yes, a class in grade school",,Male,,Less interested,Yes,"While they did impact my learning, they didn't  impact my ultimate choice.",I am studying computer science as a major/ I graduated with a CS major,,,
"Non-binary,Other (please describe)",Gender Fluid,2,"No, my first experience was not a class (please describe)",Personal Inquiry ,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Other (please describe),trans man,2022-2026 (expected),"Yes, a class in grade school",,Male,,More interested,Yes,Not particularly but he also put a lot of emphasis on making sure everyone felt included and capable regardless of gender.,I am studying computer science as a major/ I graduated with a CS major,,,"I have definitely felt more comfortable in courses with instructors who are not men, I feel like they place more emphasis on inclusion and diversity which makes me feel more comfortable and confident in the class"
Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, my first exposure to computer science was at Koding with Karlie, a summer camp aimed to getting girls interested in CS. My female teacher was definitely one of my inspirations.",I am studying computer science as a major/ I graduated with a CS major,,,"Having a female-based class as my first exposure, not even the teachers but only other females beside me learning helped me a lot. I was able to create a sense of community."
Female,,3,"No, my first experience was not a class (please describe)",Girls who code camp ,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,"After my first experience with computer science I pursued computer science in a high school class setting. During my high school cs classes I decided at the time that I did not have an interest in cs, and the teacher was a man which could have been slightly relevant to my dislike for cs. "
Female,,3,"No, my first experience was not a class (please describe)",my dad introduced it to me,Male,,Less interested,Yes,"I am not sure. I was introduced in 3rd grade, and it was not a well known thing in my community ",I am studying computer science as a major/ I graduated with a CS major,,,It took a reintroduction for me to really enjoy it (years later)
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,"No, but I think a female instructor would have urged me to continue more courses. ","I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,N/A,I have found more joy in the CS classes I have taken taught by female instructors
Male,,6,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,1,"Yes, a class in college",,Female,,More interested,Yes,no,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Other (please describe),fluid/any,4,"Yes, a class in college",,Male,,More interested,Yes,No,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,I probably would've been bored if all my CS professors were male!
Male,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2021-2025,"Yes, a class in college",,Female,,More interested,Yes,"The main reason I continued with computer science is that my teacher challenged me to do more, and I accepted that.",I am studying computer science as a major/ I graduated with a CS major,,,
Non-binary,,1/2 a year,"Yes, a class in college",,Male,,More interested,Yes,No.,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1.5,"No, my first experience was not a class (please describe)",Camp extracurricular,Male,,Same interest level,Yes,"Not at the time, but as I have gotten older seeing women in the field has helped",I am studying computer science as a minor/ I graduated with a CS minor,,,"It is definitely a male dominated field, most of my classes have noticeably more men than women which was surprising considering how early into my education I am."
Non-binary,,4,"No, my first experience was not a class (please describe)",Coding camps as a child,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,"2016-2020 (bachelors), 2023-present (masters)","Yes, a class in college",,Female,,More interested,Yes,I think it probably encouraged me to have a female instructor and helped eliminate some imposter syndrome,Other (please describe),I studied math as an undergraduate student and am now studying computer science as a masters student ,,
Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in college",,Female,,More interested,Yes,Potentially,I am studying computer science as a major/ I graduated with a CS major,,,Switched my major to CS second semester of sophomore year.
Female,,2022-2026,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,3,"Yes, a class in grade school",,Male,,More interested,Yes,i dont think so,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in college",,Male,,More interested,Yes,It didn't  impact my choice,I am studying computer science as a major/ I graduated with a CS major,,,"If I had been exposed to computer science at a younger age, I think gender representation would have made a big impact on my experience. "
Male,,3.5,"No, my first experience was not a class (please describe)","I wanted to make video games in middle school, so I went to an ID Tech camp called ""Scratch and Intro to Java."" Some time after that, I had a few sessions with a sort of tutor / family friend who knew computer science.",Male,,More interested,Yes,"I don't  think so; I was really interested in the material at the time, and would have stopped at nothing to learn how to make the kinds of things I wanted to make. However, there is a good chance that the fact that my earliest teachers were also men influenced my sensation that I belonged in that particular path. I did have a female computer science teacher in high school however who I also greatly admired, and helped influence my decision to continue to study computer science.",I am studying computer science as a major/ I graduated with a CS major,,,"Lisa Dion, a female professor of Computer Science here at UVM, is absolutely one of the best professors I've ever had, and her efforts on inclusivity have positively impacted my experience in CS and prompted me to think more about the issue."
Female,,3,"Yes, a class in grade school",,Male,,Less interested,Yes,Yes,I am studying computer science as a minor/ I graduated with a CS minor,,,I generally feel anxious in my CS classes which I feel like interferes with my ability to learn
Female,,2020-2025,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2.5,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Female,,Same interest level,Yes,"No, it more depended on their proficiency as a teacher",I am studying computer science as a major/ I graduated with a CS major,,,It is very much a male-dominated field
Male,,2.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"Male dominated, but haven't  had any specific cases where I felt discriminated against. "
Female,,3,"Yes, a class in college",,Male,,Same interest level,Yes,no,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Female,,2022-2024,"Yes, a class in college",,Male,,More interested,Yes,"No, not for this class. The instructor helped me realize how much I liked computer science, but I believe it was unrelated to his gender.",I am studying computer science as a major/ I graduated with a CS major,,,I really like the computer science department at this school. I have enjoyed every professor so far and learned a lot! So far 2/4 of my CS professors have been female which has been really nice to see as a woman in a stem field.
Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2,"Yes, a class in grade school",,Male,,More interested,Yes,Not at all,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Agender,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,4,"Yes, a class in grade school",,Male,,Less interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"Yes, a class in college",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,"2023, 2024","Yes, a class in college",,Male,,Same interest level,Yes,I do not think so.,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in grade school",,Male,,More interested,Yes,"I would've liked more female role models, but I still wanted to pursue studying computer science",I am studying computer science as a major/ I graduated with a CS major,,,"I have had two computer science professors and it has been a very positive experience. I especially always appreciate Lisa Dion bringing up diversity and inclusivity in her classes, something that belongs in every classroom."
Female,,4,"Yes, a class in college",,Female,,More interested,Yes,Maybe ,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2022 2024 2025,"Yes, a class in grade school",,Female,,More interested,Yes,No ,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,Unsure!,I am studying computer science as a major/ I graduated with a CS major,,,I'm glad I'm studying CS! Societies like SWICS make me feel comfortable and proud to be in CS
Female,,"2015-2019 (undergrad), 2023-present (grad)","Yes, a class in college",,Male,,More interested,Yes,No (but I do think having more diversity among professors would be beneficial for minority student retention),I am studying computer science as a major/ I graduated with a CS major,,,"When working as a software engineer, I was one of very few women on my team. However, I did feel that having other women to look up to in the field gave me more motivation to feel like I could stay, when things got difficult."
Male,,1,"No, my first experience was not a class (please describe)",My father worked as a cto for image metrics and would always show me the stuff he was working on,Male,,More interested,Yes,Nope,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,0.5,"Yes, a class in grade school",,Female,,More interested,Yes,No but the way the instructor supported my learning did.,I am studying computer science as a minor/ I graduated with a CS minor,,,N/A
Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Non-binary,,2 so far,"Yes, a class in college",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I'm really glad to have met people who have researched deeply into computer science, or have significant experience in the professional world of CS. I'm also glad that I've had such a diverse array of teachers which I didn't  experience much in my middle or elementary school."
Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,1,"No, my first experience was not a class (please describe)",As a child with my father,Male,,More interested,Yes,"Not particularly, I was just brought up doing it in a small part","I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Female,,3,"Yes, a class in grade school",,Female,,More interested,No,not at that point but in college yes ,I am studying computer science as a major/ I graduated with a CS major,,,professors make the biggest difference on understanding cs concepts and how much of a challenge it can be 
Female,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,not really,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,5,"Yes, a class in grade school",,Male,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,5,"Yes, a class in grade school",,Male,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,6,"Yes, a class in college",,"Male,Other (please describe)",There are different courses in Computer Science taught by different gender. Most of the technical courses were taught by male teachers ,Same interest level,Yes,No,Other (please describe),PhD,,
Male,,2.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,It has taught me valuable life skills and job skills
Female,,Stony Brook University ,"Yes, a class in grade school",,Male,,More interested,Yes,No.,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2023-2027,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,7,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,.,It is god
Female,,4,"Yes, a class in grade school",,Male,,Same interest level,Yes,Yes,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Male,,5,"No, my first experience was not a class (please describe)",a summer camp,Other (please describe),i don't  remember,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1.5 (2?),"Yes, a class in grade school",,Male,,Less interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"My first teacher in CS being a male didn't  really affect my decision to continue in CS because the overall design of the course was so un-interesting to me. I do think that, when I took my first Python course at UVM, the fact that my instructor was not a male made me more interested and comfortable in pursuing CS. "
Female,,"2022, 2023, 2024","Yes, a class in grade school",,Female,,More interested,Yes,Absolutely. ,I am studying computer science as a major/ I graduated with a CS major,,,I feel far less imposter syndrome when I have a female professor. 
Male,,3,"Yes, a class in college",,Female,,More interested,Yes,no,I am studying computer science as a minor/ I graduated with a CS minor,,,
Female,,1,"Yes, a class in grade school",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2023-currently,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"No, my first experience was not a class (please describe)",My first experience was with Khan Academy. In elementary school we used the website for math practice and my mom was supportive of at home use of it as well. They had a coding program which I used a little bit in 3rd grade. I also did robotics programming in high school and enjoyed both of these experiances.,Male,,Same interest level,No,"I don't  think they did. When taking my first computer science class (Intro to Programming) at UVM, I took it online. I had little to no interaction with my professor. I heard his voice in the videos and exchanged some emails with him, but his gender was not something I paid attention to. This class was also what really sparked my interest and made me decide to change my major to computer science.  ",I am studying computer science as a major/ I graduated with a CS major,,,I do think there is a large male presence in computer science but I feel that there is an opening for women and myself.
Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,N/A
Female,,2,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,8,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,I graduated with a minor in CS and decided to come back to school to get a PhD in CS 
Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,"Probably not directly. However, her teaching style may have, and I've noticed many women in CS are more dedicated and passionate about the field than their male peers.",Other (please describe),"Undergrad in CS, career as software engineer, returned for CS grad school",,I love CS and software engineering. I value what diversity they have and would like to see more of that.
Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in college",,Male,,More interested,Yes,Yes.,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Female,,More interested,No,no,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, my first experience was with Girls Who Code so I felt very supported and felt like I belonged in the CS community. ",I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,N/A
Male,,3,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"Yes, a class in college",,Female,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,Love to be part of Computer science
Female,,3,"Yes, a class in grade school",,Male,,Less interested,Yes,"No, it depended on their teaching ability and class projects.",I am studying computer science as a major/ I graduated with a CS major,,,"I’ve had equally good and bad male and female CS professors. I also have a great female research advisor and program faculty coordinator; I believe female faculty are more passionate about doing social good on campus and are great role models. However, talking strictly teaching, I haven't seen a great difference in impact between genders."
Female,,4,"Yes, a class in college",,Male,,Same interest level,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,"Because I was determined to be in CS, I didn't let the fact that it was male-dominated get in my way. "
Male,,4,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,N/A,
Male,,2013-present,"Yes, a class in college",,Female,,More interested,Yes,No,Other (please describe),I am studying data science as a PhD student.,,
Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,My women instructors were amazing and my favorite ones I had but they were not the reason I was more interested in CS
Male,,2016-2020,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,Working full time as a SWE
Male,,5,"Yes, a class in college",,Female,,More interested,Yes,"Hard to say, Professor Jackie Horton was excellent!",Other (please describe),"Masters in data science, working in field for 4 years",,"Many pros and cons, from my observations and experience the professional field is still heavily male dominant and can be discriminatory depending on the workplace and management. "
Male,,"1968-73, 1976-78","No, my first experience was not a class (please describe)",Work-study for the CE dept.,Male,,More interested,Yes,No.,Other (please describe),"My actual undergrad degree was Math. CS hadn't  been ""invented"" yet.  MS is in CS.",,"Worked in CS related fields from 1978 to retirement in 2021. Still doing some consulting, and I'm learning Python on my own now."
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,Yes. My motivation for pursuing computer science was in direct response to the fact that women weren't  represented in the field.,I am studying computer science as a major/ I graduated with a CS major,,,"Currently, I am a product manager for a legal tech company. I manage about 10 software developers (all of whom are men). Although I am 6 months into my job, I am still learning how to effectively manage these developers, which I think is influence by the fact that I perceive judgement from them because of my gender."
Male,,1968-72.  1973-1980.,"Yes, a class in grade school",,Male,,More interested,Yes,No,Other (please describe),"I received my B.S. in Math.  I took engineering courses (Mechanical & Civil) for 5 years while dong software development for an engineering company.  In 1978, I pursued and received an M.S. in C.S. in 1980.   ",,"Currently retired after 31 years as a software engineer with IBM, developing internal CAD tools for chip developers."
Male,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,5,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,I have always studied and worked in male dominated fields and I have never been discriminated. 
Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,I don't  think so,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2019-2022,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, I do think it had an impact",I am studying computer science as a major/ I graduated with a CS major,,,"The gender ratio of my high school computer science course was far more representative of my school's population than the mechanical (or other) engineering electives I took, which influenced my experience. "
Male,,6,"Yes, a class in college",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,I started in General Science and then Pre-Med.   After I took my first comp sci class in 1st sophomore year I switched to comp sci because I found it to be interesting and challenging and it had good job prospects.   My selection of a major had nothing to do with gender.
Female,,"BA, MS, PhD (all but disertation)","Yes, a class in college",,Male,,Same interest level,Yes,No,Other (please describe),I graduated with a BA in English and went back for MS in Computer Science. I worked in the field of CS for over 40 years,,
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,"After some experience with computer science, I never came back to the field of study",,It didn't  seem to be very welcoming to people who weren't  already experts or willing to teach themselves in their free time,Everyone I know in computer science careers works a lot of extra hours at weird and unpredictable times. It doesn't seem family friendly.
Female,,6,"Yes, a class in college",,Female,,More interested,Yes,"I think so.  She made me feel that as someone who doesn't  play video games or have computer experience, I was going to do just fine",Other (please describe),I graduated with a CS major and also a Math major and am currently working in the field,,"I've always enjoyed my technical jobs, but there are still far too few women - I work in robotics and there are very few women engineers of any sort for me to work with."
Female,,4,"Yes, a class in college",,Female,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in college",,Male,,More interested,Yes,"No, I think he did a pretty good job of being welcoming to new students regardless of gender (jim eddy)",I am studying computer science as a major/ I graduated with a CS major,,,Taking classes with Lisa made me want to stay committed to the field - she was so understanding when I was struggling and helped me catch up and succeed in her class. It made me feel like I could have a successful career/experience and there were people like me in the field
Male,,2011-2015,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,7,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I have a long history in the field and recruiting and retaining women is an ongoing struggle, and one that my company works on."
Female,,4,"Yes, a class in college",,Male,,More interested,Yes,"maybe, although he was a man, i immediately noticed that he was intentionally inclusive and used feminine pronouns in his hypothetical examples like “if a programmer wants x and SHE does y….” or “if your boss asks for x and you tell HER…” which i found to be very sweet and encouraging ",I am studying computer science as a major/ I graduated with a CS major,,,i only had two female CS professors in my 4 years but i loved them both <3
Female,,5,"No, my first experience was not a class (please describe)",First experience was through a research job in college,Female,,More interested,Yes,Yes. Having my first exposure to CS be through a woman who encouraged me to continue and told me I would do well in the field impacted my choice,Other (please describe),Graduate School studying CS related field,,
Male,,1987-1991,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,Other (please describe),"I majored in applied math and worked for IBM as computer programmer,  project manager. Received MS in computer science while working at IBM.  Now retired.",,I help my friends with their computer issues
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
