StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Statement of Consent,Q7,Q7_5_TEXT,Q8,Q9,Q9_3_TEXT,Q11,Q11_5_TEXT,Q12,Q13,Q14,Q15,Q15_6_TEXT,Q18,Q11
2023-10-04 11:48:37,2023-10-04 11:48:44,Survey Preview,100,6,True,2023-10-04 11:48:46,R_30uGhS8QjO4G50a,preview,EN,,,,,,,,,,,,,,,
2023-10-26 15:58:26,2023-10-26 16:02:18,IP Address,100,232,True,2023-10-26 16:02:19,R_38Uz2RDYYdArBSh,anonymous,EN,I consent to this survey,Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,TEST,I am studying computer science as a major/ I graduated with a CS major,,,TEST
2023-10-26 16:02:30,2023-10-26 16:03:19,IP Address,100,49,True,2023-10-26 16:03:20,R_2xwTJlCrvKhifCG,anonymous,EN,I consent to this survey,Female,,TEST,"Yes, a class in college",,Female,,More interested,No,TEST,"After some experience with computer science, I never came back to the field of study",,TEST,TEST
2024-01-26 10:35:00,2024-01-26 10:38:37,IP Address,100,216,True,2024-01-26 10:38:37,R_6rIEGks9gdIGT9E,anonymous,EN,I consent to this survey,Female,,University of Vermont,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, I really connected with the teacher and wanted to learn more!",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:39:04,2024-01-26 10:39:29,IP Address,100,25,True,2024-01-26 10:39:30,R_1m9SglgDdhSYTEf,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:41:02,2024-01-26 10:41:07,IP Address,100,4,True,2024-01-26 10:41:07,R_5uCAf0szqz7rwGh,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:41:03,2024-01-26 10:41:09,IP Address,100,6,True,2024-01-26 10:41:09,R_5imTP0C9Y4ZxrBd,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:41:53,2024-01-26 10:41:59,IP Address,100,5,True,2024-01-26 10:41:59,R_6DS9hzgCjNAtIIN,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:42:17,2024-01-26 10:42:21,IP Address,100,3,True,2024-01-26 10:42:22,R_6g0nSw88bXjNJbQ,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:42:25,2024-01-26 10:42:28,IP Address,100,3,True,2024-01-26 10:42:29,R_7PkhJjZb1ytutF2,anonymous,EN,I do not consent to this survey,,,,,,,,,,,,,,
2024-01-26 10:43:13,2024-01-26 10:45:43,IP Address,100,149,True,2024-01-26 10:45:44,R_3G8GSBLujwFY1ys,anonymous,EN,I consent to this survey,Female,,2019-2023,"Yes, a class in college",,Male,,Same interest level,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,It has been a complex but fun experience
2024-01-26 10:43:43,2024-01-26 10:46:14,IP Address,100,151,True,2024-01-26 10:46:14,R_30m9BCVxqflkkdX,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,Less interested,Yes,I think the gender was the first thing I regcognized but it was their behavior that made me want to leave/stay,I am studying computer science as a major/ I graduated with a CS major,,,I think that it is the attitude of the institution /class of the computer science and that some of my best classes were taught my middle aged men but that they wanted everyone to learn.
2024-01-26 10:43:11,2024-01-26 10:48:55,IP Address,100,343,True,2024-01-26 10:48:55,R_6urjKyfVf6gE8Yd,anonymous,EN,I consent to this survey,Female,,4,"No, my first experience was not a class (please describe)",Extracurricular (robotics),Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
2024-01-26 10:55:25,2024-01-26 10:55:44,IP Address,100,19,True,2024-01-26 10:55:45,R_3pr3rfGSBRltT8p,anonymous,EN,,,,,,,,,,,,,,,
2024-01-26 10:54:58,2024-01-26 10:56:04,IP Address,100,65,True,2024-01-26 10:56:04,R_5ghykdeAFom5VOH,anonymous,EN,I consent to this survey,Male,,1 so far,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,Nope
2024-01-26 10:54:36,2024-01-26 10:56:05,IP Address,100,89,True,2024-01-26 10:56:06,R_5iqzkMUwSre3HBx,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No but seeing women instructors helped,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,
2024-01-26 10:55:12,2024-01-26 10:57:03,IP Address,100,110,True,2024-01-26 10:57:03,R_5ltzour5sJMpK30,anonymous,EN,I consent to this survey,Male,,1.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I find it very interesting and I find myself doing computer science for fun in my free time. "
2024-01-26 10:55:08,2024-01-26 10:57:09,IP Address,100,120,True,2024-01-26 10:57:09,R_1jfXSxVMbGQ517z,anonymous,EN,I consent to this survey,Male,,2021-present (class of 2025),"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:54:39,2024-01-26 10:57:30,IP Address,100,170,True,2024-01-26 10:57:30,R_3MSNpzB1wBYheBa,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,Same interest level,Yes,No I don’t think so. I knew before going into computer science that there was a limited amount of women in the field so I was not surprised that I had a majority male teachers/professors.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:55:17,2024-01-26 10:57:46,IP Address,100,149,True,2024-01-26 10:57:47,R_3twXto9OqspDkFS,anonymous,EN,I consent to this survey,Male,,1/2,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"Computer science has always been a pretty fun subject for me, but I have found it more enjoyable when I learned it from my high school CS teacher"
2024-01-26 10:56:19,2024-01-26 10:58:04,IP Address,100,105,True,2024-01-26 10:58:05,R_5SoWutsWFYVCLe0,anonymous,EN,I consent to this survey,Male,,2,"Yes, a class in college",,Female,,More interested,Yes,Yes I do.,I am studying computer science as a major/ I graduated with a CS major,,,I find spaces that are majority women or with more women within computer science more approachable as I find myself to be more comfortable around women
2024-01-26 10:55:34,2024-01-26 10:58:07,IP Address,100,153,True,2024-01-26 10:58:08,R_10deHahp8s9UKyo,anonymous,EN,I consent to this survey,Non-binary,,1/2 (Currently attending),"Yes, a class in grade school",,Female,,More interested,Yes,Not particularly,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:56:03,2024-01-26 10:58:10,IP Address,100,127,True,2024-01-26 10:58:10,R_1y0s39oO6FrquIx,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,One of my friends was a big influence in getting me to try computer science.
2024-01-26 10:55:38,2024-01-26 10:58:10,IP Address,100,152,True,2024-01-26 10:58:11,R_3YZ0L1apFJ8VSAp,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in college",,Male,,More interested,Yes,"Not with my first class but later on with the harder classes having a female role model definitely made more confident in my choice to continue cs ",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:57:14,2024-01-26 10:59:02,IP Address,100,107,True,2024-01-26 10:59:03,R_6lkWWhmIbIhrg3f,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:54:56,2024-01-26 10:59:03,IP Address,100,247,True,2024-01-26 10:59:03,R_1aZNqLJnutAqkql,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,Less interested,Yes,No. I was stuck with comp sci so the gender of the teacher didn't make an impact on my decision.,I am studying computer science as a major/ I graduated with a CS major,,,Gender didn't have any impact on my decision to continue computer science but I've found that I was a bit more engaged when it was a female professor.
2024-01-26 10:57:42,2024-01-26 10:59:30,IP Address,100,107,True,2024-01-26 10:59:30,R_3ZNyZbHG3u6rVzw,anonymous,EN,I consent to this survey,Non-binary,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,Probably subtly,I am studying computer science as a minor/ I graduated with a CS minor,,,
2024-01-26 10:59:44,2024-01-26 11:00:16,IP Address,100,32,True,2024-01-26 11:00:17,R_6n0Ocu54sUn9kRa,anonymous,EN,I consent to this survey,Non-binary,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,Probably subtly,I am studying computer science as a minor/ I graduated with a CS minor,,,
2024-01-26 10:58:58,2024-01-26 11:01:01,IP Address,100,123,True,2024-01-26 11:01:01,R_6iAxTPFauYlbbP3,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,I dont think the gender of my instructor had an impact on my choice to continue with computer science,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:00:11,2024-01-26 11:01:48,IP Address,100,96,True,2024-01-26 11:01:48,R_5VBZe60oGL2fSPw,anonymous,EN,I consent to this survey,Male,,"2022,2023,2024","Yes, a class in college",,Male,,More interested,Yes,No I don't.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:00:46,2024-01-26 11:02:00,IP Address,100,73,True,2024-01-26 11:02:00,R_5olfM9W7Va2Rk9b,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,I think so,I am studying computer science as a major/ I graduated with a CS major,,,"I got into because my mother did it "
2024-01-26 11:00:23,2024-01-26 11:02:45,IP Address,100,142,True,2024-01-26 11:02:46,R_5jVThczplLsMC4k,anonymous,EN,I consent to this survey,Female,,2.5,"Yes, a class in college",,Female,,More interested,Yes,"Yes, seeing others like myself helped motivate me to continue studying cs. ",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:00:09,2024-01-26 11:02:49,IP Address,100,159,True,2024-01-26 11:02:49,R_5HlBfTPCLn4HBtv,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 10:59:34,2024-01-26 11:04:18,IP Address,100,283,True,2024-01-26 11:04:18,R_6lPyHvd2Ja7vdEB,anonymous,EN,I consent to this survey,Male,,2,"No, my first experience was not a class (please describe)",I did some DIY arduino stuff at home in 5th grade,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I mostly taught myself. When I got to school, I already understood Java and had done quite a bit. I suspect my professors have had a less them avg impact on my feelings."
2024-01-26 11:03:12,2024-01-26 11:04:59,IP Address,100,107,True,2024-01-26 11:05:00,R_72OYcAmH7iuWvjO,anonymous,EN,I consent to this survey,Male,,2,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I love everything about it "
2024-01-26 11:02:46,2024-01-26 11:05:57,IP Address,100,191,True,2024-01-26 11:05:58,R_7d5AHxWfj49DNO5,anonymous,EN,I consent to this survey,Female,,0.5,"No, my first experience was not a class (please describe)","When I was 6-7, my dad taught me some HTML and I used makey makey, Scratch, etc. Did some minecraft programming too.",Male,,Same interest level,Yes,"Not gender, just the person",Other (please describe),studying data science and working in the field,,"After returning to CS because of my job, as I gained confidence with it and saw more of it I became more interested."
2024-01-26 11:04:14,2024-01-26 11:05:58,IP Address,100,104,True,2024-01-26 11:05:58,R_6o9bJLHbrbm581b,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,"Not necessarily, no.",I am studying computer science as a major/ I graduated with a CS major,,,"The gender ratio is 1:10, but we have some really good female professors and I definitely feel as though I belong."
2024-01-26 11:03:19,2024-01-26 11:06:06,IP Address,100,166,True,2024-01-26 11:06:07,R_7MxXcjCxqbWOczD,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,"First experience was an IT internship at a local high school where the head of the department was a woman, she helped me foster an interest in CS"
2024-01-26 11:05:10,2024-01-26 11:06:14,IP Address,100,63,True,2024-01-26 11:06:15,R_6wLHYBCzl7yuHH1,anonymous,EN,,,,,,,,,,,,,,,
2024-01-26 11:05:31,2024-01-26 11:06:18,IP Address,100,46,True,2024-01-26 11:06:18,R_52lFxJdPLHth0br,anonymous,EN,I consent to this survey,Male,,2,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:04:48,2024-01-26 11:06:25,IP Address,100,96,True,2024-01-26 11:06:26,R_6F9V1uix3xEOm89,anonymous,EN,I consent to this survey,Male,,In my first year,"Yes, a class in grade school",,Female,,More interested,Yes,Not particularly,I am studying computer science as a major/ I graduated with a CS major,,,"None "
2024-01-26 11:05:02,2024-01-26 11:07:34,IP Address,100,152,True,2024-01-26 11:07:35,R_6uQ7VdFnGaxoIrT,anonymous,EN,I consent to this survey,Male,,1/2,"No, my first experience was not a class (please describe)","My first experience was at a camp at my towns children's museum. ",Female,,More interested,Yes,"No, I think I just liked computer science. I honestly forgot about the experience till I thought about it for this.",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:05:01,2024-01-26 11:07:57,IP Address,100,176,True,2024-01-26 11:07:58,R_6EsR15VJxRwAn7W,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Male,,More interested,Yes,I don't believe so. I rarely interacted with the professor in my first course.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:01:42,2024-01-26 11:08:37,IP Address,100,415,True,2024-01-26 11:08:38,R_5dm7tm4XPW2aHR6,anonymous,EN,I consent to this survey,Male,,0.5,"No, my first experience was not a class (please describe)","In 7th grade, my best friend showed me a mean absolute deviation calculator that he made on scratch with block code.",Male,,More interested,Yes,"No I don’t think so. Although my best friend identified as male, I think that him being my best friend played more of a role than his gender. I think I would’ve had the same amazement in 7th grade if my best friend was female or nonbinary.",I am studying computer science as a major/ I graduated with a CS major,,,"Nada, no hay mas."
2024-01-26 11:06:01,2024-01-26 11:08:44,IP Address,100,163,True,2024-01-26 11:08:45,R_4gvWPiOyAXP51pH,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,I don’t think so.,I am studying computer science as a major/ I graduated with a CS major,,,It’s been fun but intimidating. Lots of classes are mostly boys.
2024-01-26 11:05:39,2024-01-26 11:08:57,IP Address,100,197,True,2024-01-26 11:08:57,R_1PXGwmU4YrYWG3b,anonymous,EN,I consent to this survey,Female,,2023,"Yes, a class in grade school",,Male,,Less interested,Yes,"While they did impact my learning, they didn't impact my ultimate choice.",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:10:28,2024-01-26 11:12:12,IP Address,100,104,True,2024-01-26 11:12:12,R_7EEwvxUqreSDDIT,anonymous,EN,I consent to this survey,"Non-binary,Other (please describe)",Gender Fluid,2,"No, my first experience was not a class (please describe)","Personal Inquiry ",Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:09:45,2024-01-26 11:13:11,IP Address,100,206,True,2024-01-26 11:13:12,R_6CBZHSXiIMuqI8I,anonymous,EN,I consent to this survey,Other (please describe),trans man,2022-2026 (expected),"Yes, a class in grade school",,Male,,More interested,Yes,Not particularly but he also put a lot of emphasis on making sure everyone felt included and capable regardless of gender.,I am studying computer science as a major/ I graduated with a CS major,,,"I have definitely felt more comfortable in courses with instructors who are not men, I feel like they place more emphasis on inclusion and diversity which makes me feel more comfortable and confident in the class"
2024-01-26 11:14:38,2024-01-26 11:18:35,IP Address,100,237,True,2024-01-26 11:18:36,R_537nkKP0sz3uQ7v,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, my first exposure to computer science was at Koding with Karlie, a summer camp aimed to getting girls interested in CS. My female teacher was definitely one of my inspirations.",I am studying computer science as a major/ I graduated with a CS major,,,"Having a female-based class as my first exposure, not even the teachers but only other females beside me learning helped me a lot. I was able to create a sense of community."
2024-01-26 11:07:32,2024-01-26 11:19:07,IP Address,100,695,True,2024-01-26 11:19:08,R_6pir3TSMucyz5Xr,anonymous,EN,I consent to this survey,Female,,3,"No, my first experience was not a class (please describe)","Girls who code camp ",Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,"After my first experience with computer science I pursued computer science in a high school class setting. During my high school cs classes I decided at the time that I did not have an interest in cs, and the teacher was a man which could have been slightly relevant to my dislike for cs. "
2024-01-26 11:18:12,2024-01-26 11:20:23,IP Address,100,131,True,2024-01-26 11:20:23,R_1UuNy2qvwVow4mZ,anonymous,EN,I consent to this survey,Female,,3,"No, my first experience was not a class (please describe)",my dad introduced it to me,Male,,Less interested,Yes,"I am not sure. I was introduced in 3rd grade, and it was not a well known thing in my community ",I am studying computer science as a major/ I graduated with a CS major,,,It took a reintroduction for me to really enjoy it (years later)
2024-01-26 11:19:48,2024-01-26 11:22:39,IP Address,100,170,True,2024-01-26 11:22:40,R_7eOt3sfEKMtQUcy,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,"No, but I think a female instructor would have urged me to continue more courses. ","I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,N/A,I have found more joy in the CS classes I have taken taught by female instructors
2024-01-26 11:06:00,2024-01-26 11:22:51,IP Address,100,1011,True,2024-01-26 11:22:52,R_1f351YeWW3cPT8Y,anonymous,EN,I consent to this survey,Male,,6,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:22:40,2024-01-26 11:23:51,IP Address,100,71,True,2024-01-26 11:23:52,R_7wNnmYEm8YcKXYZ,anonymous,EN,I consent to this survey,Male,,1,"Yes, a class in college",,Female,,More interested,Yes,no,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,
2024-01-26 11:18:45,2024-01-26 11:29:04,IP Address,100,618,True,2024-01-26 11:29:04,R_53j4cuIpzLOD2nY,anonymous,EN,I consent to this survey,Other (please describe),fluid/any,4,"Yes, a class in college",,Male,,More interested,Yes,No,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,I probably would've been bored if all my CS professors were male!
2024-01-26 11:29:13,2024-01-26 11:30:16,IP Address,100,62,True,2024-01-26 11:30:16,R_6E0WDMJekKXtWoR,anonymous,EN,I consent to this survey,Male,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:37:21,2024-01-26 11:39:25,IP Address,100,123,True,2024-01-26 11:39:26,R_3nTcDlN0p780kCC,anonymous,EN,I consent to this survey,Male,,2021-2025,"Yes, a class in college",,Female,,More interested,Yes,"The main reason I continued with computer science is that my teacher challenged me to do more, and I accepted that.",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:42:20,2024-01-26 11:44:06,IP Address,100,105,True,2024-01-26 11:44:07,R_7YEXr5GuMglY06O,anonymous,EN,I consent to this survey,Non-binary,,1/2 a year,"Yes, a class in college",,Male,,More interested,Yes,No.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:45:50,2024-01-26 11:46:35,IP Address,100,44,True,2024-01-26 11:46:35,R_6Lcn90LiPGMYOvQ,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:44:50,2024-01-26 11:47:45,IP Address,100,175,True,2024-01-26 11:47:46,R_3X1buS7OZW2dO69,anonymous,EN,I consent to this survey,Female,,1.5,"No, my first experience was not a class (please describe)",Camp extracurricular,Male,,Same interest level,Yes,"Not at the time, but as I have gotten older seeing women in the field has helped",I am studying computer science as a minor/ I graduated with a CS minor,,,"It is definitely a male dominated field, most of my classes have noticeably more men than women which was surprising considering how early into my education I am."
2024-01-26 11:48:13,2024-01-26 11:50:02,IP Address,100,108,True,2024-01-26 11:50:02,R_3xzynOBFihMVUDn,anonymous,EN,I consent to this survey,Non-binary,,4,"No, my first experience was not a class (please describe)",Coding camps as a child,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 11:56:07,2024-01-26 11:58:55,IP Address,100,168,True,2024-01-26 11:58:56,R_3IcpfoJLC6hg4xf,anonymous,EN,I consent to this survey,Female,,"2016-2020 (bachelors), 2023-present (masters)","Yes, a class in college",,Female,,More interested,Yes,I think it probably encouraged me to have a female instructor and helped eliminate some imposter syndrome,Other (please describe),"I studied math as an undergraduate student and am now studying computer science as a masters student ",,
2024-01-26 11:56:33,2024-01-26 11:59:22,IP Address,100,169,True,2024-01-26 11:59:23,R_3arcNlWQeIrRUNe,anonymous,EN,I consent to this survey,Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 12:04:39,2024-01-26 12:06:37,IP Address,100,117,True,2024-01-26 12:06:37,R_7qOunm3Sgv7vRiR,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in college",,Female,,More interested,Yes,Potentially,I am studying computer science as a major/ I graduated with a CS major,,,Switched my major to CS second semester of sophomore year.
2024-01-26 12:07:24,2024-01-26 12:09:58,IP Address,100,154,True,2024-01-26 12:09:59,R_3LJLQUijBd9vdDz,anonymous,EN,I consent to this survey,Female,,2022-2026,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
